id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-8423556,"""Coo-ee!"" : the journal of the Bishops Knoll Hospital, Bristol.",,Partridge & Love Ltd.,https://nla.gov.au/nla.obj-8423556,https://trove-journals.s3.ap-southeast-2.amazonaws.com/coo-ee-the-journal-of-the-bishops-knoll-hospital-b-nla.obj-8423556.zip,13,1916-01-01,1917-10-20,1916,1917,1 v. ; ill. ; 25 cm.,,,https://nla.gov.au/nla.cat-vn377167
nla.obj-2998991958,"(Ross's) Hobart Town almanack, and Van Diemen's Land annual.",,Printed by James Ross,https://nla.gov.au/nla.obj-2998991958,https://trove-journals.s3.ap-southeast-2.amazonaws.com/ross-s-hobart-town-almanack-and-van-diemen-s-land--nla.obj-2998991958.zip,1,1835-01-01,1835-01-01,1835,1835,2 volumes : illustrations ; 18 cm.,Tasmania,,https://nla.gov.au/nla.cat-vn610781
nla.obj-2998997061,(Ross's) Van Diemen's Land annual and Hobart Town almanack.,,Printed by James Ross,https://nla.gov.au/nla.obj-2998997061,https://trove-journals.s3.ap-southeast-2.amazonaws.com/ross-s-van-diemen-s-land-annual-and-hobart-town-al-nla.obj-2998997061.zip,1,1834-01-01,1934-01-01,1934,1934,1 volumes : illustrations ; 18 cm.,Tasmania,,https://nla.gov.au/nla.cat-vn2133206
nla.obj-15956697,14th Company magazine.,,14th Company.,https://nla.gov.au/nla.obj-15956697,https://trove-journals.s3.ap-southeast-2.amazonaws.com/14th-company-magazine-nla.obj-15956697.zip,1,0191-01-01,1918-06-14,1918,1918,v. ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn585007
nla.obj-250818955,20 favourite & war-time camp songs [music].,,Sterling Music,https://nla.gov.au/nla.obj-250818955,https://trove-journals.s3.ap-southeast-2.amazonaws.com/20-favourite-war-time-camp-songs-music-nla.obj-250818955.zip,7,1940-01-01,,,,7 v. of music ; 29 cm.,,,https://nla.gov.au/nla.cat-vn2926496
nla.obj-24207812,24th Battalion journal.,,The Battalion,https://nla.gov.au/nla.obj-24207812,https://trove-journals.s3.ap-southeast-2.amazonaws.com/24th-battalion-journal-nla.obj-24207812.zip,1,1918-01-01,1918-09-16,1918,1918,v. ; 21 cm.,Australia,,https://nla.gov.au/nla.cat-vn194307
nla.obj-320275568,A Careta.,,'Kosmos,https://nla.gov.au/nla.obj-320275568,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-careta-nla.obj-320275568.zip,2,0019-01-01,1909-06-05,1909,1909,v. : ill. (some col.) ; 28 cm.,Brazil,,https://nla.gov.au/nla.cat-vn2045077
nla.obj-2881880379,A guide to the wild flowers,,Frederick A. Stokes,https://nla.gov.au/nla.obj-2881880379,,0,1899-01-01,,,,"xvii, 347 pages, [64] leaves of plates : illustrations (some colour) ; 20 cm.",United States,,https://nla.gov.au/nla.cat-vn79410
nla.obj-3089884707,"A short report on the evidence in the case of Regina v. Murphy : tried before His Honor Mr. Justice Cheeke, on the 19th, 20th and 21st August, 1867 : with the speech of W.B. Dalley, Esq., in defence of the prisoner",,"Gibbs, Shallard, Printers",https://nla.gov.au/nla.obj-3089884707,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-short-report-on-the-evidence-in-the-case-of-regi-nla.obj-3089884707.zip,1,1867-01-01,,,,20 pages ; 20 cm.,,,https://nla.gov.au/nla.cat-vn959384
nla.obj-2905264494,A.H. Massina & Co's weather almanac and general guide and handbook for Victoria for ... with calendar and map of railway systems.,,A.H. Massina & Co.,https://nla.gov.au/nla.obj-2905264494,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-h-massina-co-s-weather-almanac-and-general-guide-nla.obj-2905264494.zip,12,1864-01-01,1894-01-01,1880,1894,31 volumes : map ; 22 cm.,Victoria,,https://nla.gov.au/nla.cat-vn681259
nla.obj-3086457649,A.H. Massina & Co's weather almanac for ... : with wall calendar and railway maps ...,,A.H. Massina & Co.,https://nla.gov.au/nla.obj-3086457649,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-h-massina-co-s-weather-almanac-for-with-wall-cal-nla.obj-3086457649.zip,9,1895-01-01,1903-01-01,1895,1903,25 volumes : maps ; 22 cm.,Victoria,,https://nla.gov.au/nla.cat-vn681252
nla.obj-890736639,ABC weekly,,ABC,https://nla.gov.au/nla.obj-890736639,https://trove-journals.s3.ap-southeast-2.amazonaws.com/abc-weekly-nla.obj-890736639.zip,1033,1939-01-01,1959-10-28,1939,1959,v. : ill. ; 29cm.,Australia,,https://nla.gov.au/nla.cat-vn1147658
nla.obj-254636277,ANARE reports. Series B.,,"Antarctic Division, Dept. of External Affairs.",https://nla.gov.au/nla.obj-254636277,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anare-reports-series-b-nla.obj-254636277.zip,2,1952-01-01,1959-11-30,1955,1959,v. : ill. ; 25cm.,Antarctic Ocean; Antarctica,0567-0810,https://nla.gov.au/nla.cat-vn1386635
nla.obj-2836256024,ANZHES journal.,,,https://nla.gov.au/nla.obj-2836256024,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anzhes-journal-nla.obj-2836256024.zip,16,1972-01-01,1979-10-01,1972,1979,volume; 21 cm.,Australia New Zealand,0311-3248,https://nla.gov.au/nla.cat-vn2131272
nla.obj-288413164,Abstract of the ... report of the London Missionary Society for the year ending ...,,London Missionary Society.,https://nla.gov.au/nla.obj-288413164,https://trove-journals.s3.ap-southeast-2.amazonaws.com/abstract-of-the-report-of-the-london-missionary-so-nla.obj-288413164.zip,1,0018-01-01,1884-01-01,1884,1884,v. ; 22 cm.,,,https://nla.gov.au/nla.cat-vn102215
nla.obj-3090746263,"Account of the proceedings of the Australasian Library Conference : together with the papers read, list of delegates, etc., and the constitution and office bearers of the Library Association of Australasia.",,Government Printer,https://nla.gov.au/nla.obj-3090746263,,0,1896-01-01,,,,1 v. ; 28 cm.,,,https://nla.gov.au/nla.cat-vn977090
nla.obj-321169907,Action front : journal of the 2/2 Field Regiment.,,The Regiment,https://nla.gov.au/nla.obj-321169907,https://trove-journals.s3.ap-southeast-2.amazonaws.com/action-front-journal-of-the-2-2-field-regiment-nla.obj-321169907.zip,2,1940-01-01,1946-07-01,1943,1946,v. : ill. ; 31 cm.,Australia,,https://nla.gov.au/nla.cat-vn212038
nla.obj-806514451,Activities,,Australian Govt. Pub. Service.,https://nla.gov.au/nla.obj-806514451,https://trove-journals.s3.ap-southeast-2.amazonaws.com/activities-nla.obj-806514451.zip,4,1988-01-01,1991-06-30,1988,1991,4 volumes ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn655983
