fulltext_url,title,work_url,work_type,contributor,publisher,date,type,format,extent,language,subject,spatial,is_part_of,identifier,rights,fulltext_url_text,catalogue_url
https://nla.gov.au/nla.obj-54127737,Acts of the Parliament : passed in the first year of the reign of his majesty King Edward the seventh.,https://trove.nla.gov.au/work/10078182,"Government publication | Microform | Periodical | Periodical/Journal, magazine, other",Victoria.,"Melbourne : By authority, Robt. S. Brain, Government Printer,",1901,text,volume,volumes ; 23 cm.,,"Child welfare - Adoption and fostering. | Child welfare - Child / parent separation - Stolen generations. | Child welfare - Neglect. | Child welfare -- Australia. | Children, Aboriginal Australian -- Legal status, laws, etc. | Law - Family law. | Law -- Australia -- Victoria -- Periodicals. | Law -- Victoria -- Periodicals. | National Inquiry into the Separation of Aboriginal and Torres Strait Islander Children from their Families (Australia). Bringing them home. | Session laws -- Australia -- Victoria -- Periodicals. | Statutes -- Australia -- Victoria -- Periodicals. | Statutes -- Victoria -- Periodicals. | Stolen generations (Australia) | Victoria (Vic) | Youth, Aboriginal Australian -- Legal status, laws, etc.",u-at-vi,,AuCNLKIN: 000004904854 | OCoLC: 219803340,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-614066685,The Silver stream songster.,https://trove.nla.gov.au/work/10087062,"Periodical | Periodical/Journal, magazine, other",,Sydney : Australian Song Publishing.,189u,,volume,v. : illustrations ; 17 cm.,,Popular music -- To 1901 -- Texts. | Revues -- Excerpts.,,,AuCNLKIN: 000010160260 | OCoLC: 221503629,,National Library of Australia digitised item. N 782.421599 SIL copy,
https://nla.gov.au/nla.obj-55312521,The statutes of New South Wales (public and private) passed during the session of ... | The statutes of New South Wales (public and private) passed during the session of.,https://trove.nla.gov.au/work/10278751,"Government publication | Periodical | Periodical/Journal, magazine, other",New South Wales,"Sydney : Govt. Printer,",1862 | 186u,text,volume,volume ; 24-33 cm. | volumes ; 24-33 cm.,,"Aboriginal Australians -- Public welfare. | Child welfare - Adoption and fostering. | Child welfare - Care services. | Child welfare - Child / parent separation - Stolen generations. | Child welfare - Neglect. | Child welfare - Youth services. | Child welfare -- Australia. | Children, Aboriginal Australian -- Legal status, laws, etc. | Law - Family law. | Law -- Australia -- New South Wales -- Periodicals. | Law -- New South Wales -- Periodicals. | National Inquiry into the Separation of Aboriginal and Torres Strait Islander Children from their Families (Australia). Bringing them home. | New South Wales (NSW) | New South Wales. | Session laws -- Australia -- New South Wales. | Session laws -- New South Wales. | Session laws. | Statutes -- Australia -- New South Wales -- Periodicals. | Statutes -- New South Wales -- Periodicals. | Stolen generations (Australia) | Youth, Aboriginal Australian -- Legal status, laws, etc.",u-at-ne,series: New Acts New South Wales,AuCNLKIN: 000001906330 | AuCNLKIN: 000073602301 | OCoLC: 1007258931 | OCoLC: 1759973,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-55375446,Votes and proceedings of the Legislative Assembly during the session... ... / New South Wales Legislative Assembly.,https://trove.nla.gov.au/work/10284532,"Government publication | Microform | Periodical | Periodical/Journal, magazine, other","New South Wales. Parliament. Legislative Assembly | New South Wales. Parliament. Legislative Assembly. Attendance of members in division and count outs. | New South Wales. Parliament. Legislative Assembly. Business of the Legislative Assembly of New South Wales. | New South Wales. Parliament. Legislative Assembly. Business undisposed of at the close of session. | New South Wales. Parliament. Legislative Assembly. Committees meeting, bills, & reports available. | New South Wales. Parliament. Legislative Assembly. List of members. | New South Wales. Parliament. Legislative Assembly. Printing committee report. | New South Wales. Parliament. Legislative Assembly. Register of addresses and orders for papers. | New South Wales. Parliament. Legislative Assembly. Register of public bills originated in the Assembly. | New South Wales. Parliament. Legislative Assembly. Standing and select committees. | New South Wales. Parliament. Legislative Assembly. Weekly report of divisions in committee of the whole (current issues only).",Sydney : Govt. Printer.,1856,text,volume,volumes ; 34 cm.,,New South Wales -- Politics and government -- 1851-1901. | New South Wales -- Politics and government -- 20th century. | New South Wales -- Politics and government -- Periodicals. | New South Wales. | New South Wales. Parliament. Legislative Assembly -- Periodicals. | New South Wales. Parliament. Legislative Assembly. | Politics and government.,u-at-ne,series: Australian parliamentary papers [to 1901] ; 1856-1900. | series: Australian parliamentary papers [to 1901] [microform],AuCNLKIN: 000001908360 | OCoLC: 1759975,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-53867668,Parliamentary papers : printed during the.,https://trove.nla.gov.au/work/10327501,"Government publication | Periodical | Periodical/Journal, magazine, other","Queensland. Audit Office | Queensland. Crime and Misconduct Commission | Queensland. Legislative Assembly. Estimates Committee A. | Queensland. Legislative Assembly. Estimates Committee B. | Queensland. Legislative Assembly. Estimates Committee C. | Queensland. Legislative Assembly. Estimates Committee D. | Queensland. Legislative Assembly. Estimates Committee E. | Queensland. Legislative Assembly. Estimates Committee F. | Queensland. Legislative Assembly. Estimates Committee G. | Queensland. Legislative Assembly. Legal, Constitutional and Administrative Review Committee | Queensland. Legislative Assembly. Members' Ethics and Parliamentary Privileges Committee | Queensland. Legislative Assembly. Parliamentary Crime and Misconduct Committee | Queensland. Legislative Assembly. Parliamentary Criminal Justice Commission. | Queensland. Legislative Assembly. Parliamentary Service Commission. | Queensland. Legislative Assembly. Parliamentary Travelsafe Committee | Queensland. Legislative Assembly. Public Accounts Committee | Queensland. Legislative Assembly. Public Works Committee | Queensland. Legislative Assembly. Scrutiny of Legislation Committee | Queensland. Legislative Assembly. Select Committee on Procedural Review. | Queensland. Parliament","Brisbane : Govt. Printer,",1902,text,volume,volumes ; 34 cm.,,Queensland -- History -- Sources. | Queensland. | Queensland. Legislative Assembly -- Periodicals. | Queensland. Parliament -- Periodicals. | Queensland. Parliament.,u-at-qn,,AuCNLKIN: 000001922805 | OCoLC: 6729558,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-657473276,The Order of service for the annual festival to be held in St. Andrew's Cathedral on the Feast of ... ... / Sydney Diocesan Church Choir Association. | The Order of service for the annual festival to be held in St. Andrew's Cathedral on the Feast of Saint Andrew / Sydney Diocesan Church Choir Association.,https://trove.nla.gov.au/work/10388163 | https://trove.nla.gov.au/work/255540963,"Periodical | Periodical/Journal, magazine, other",Sydney Diocesan Church Choir Association,Sydney : The Association.,1885 | 18uu,notated music,volume,"close scores ; 19 cm. | volumes, close scores ; 19 cm.",,Australia. | Choral music. | Church of England -- Australia -- Liturgy -- Periodicals. | Church of England -- Australia -- New South Wales -- Sydney -- Periodicals. | Church of England -- Liturgy -- Periodicals. | Church of England. | Liturgics. | Masses (Unison) -- Scores -- Periodicals. | Masses.,u-at---,,AuCNLKIN: 000010249698 | AuCNLKIN: 000075481117 | OCoLC: 221296267,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-740911077,Journal of the Soil Conservation Service of New South Wales.,https://trove.nla.gov.au/work/10411388,"Government publication | Microform | Periodical | Periodical/Journal, magazine, other",Soil Conservation Service of New South Wales,"Sydney : Govt. Printer,",1945,still image | text,online resource | volume,1 online resource : illustrations. | 38 v. : ill. ; 25 cm. | v. : ill. ; 24 cm.,,Australian | Australian periodicals -- New South Wales -- Sydney. | Conservación de suelos -- Publicaciones periódicas. | Soil conservation -- Australia -- New South Wales -- Periodicals. | Soil conservation -- Australia -- Periodicals. | Soil conservation -- New South Wales -- Periodicals. | Soil conservation -- Periodicals. | Soil conservation. | Soil erosion -- New South Wales -- Periodicals. | Soil erosion -- Periodicals. | Sydney (N.S.W.) -- Periodicals.,u-at-ne,series: Digitised newspapers and more.,AuCNLKIN: 000001953185 | AuCNLKIN: 000055522031 | AuCNLKIN: 000066474090 | OCoLC: 1137085667 | OCoLC: 5135197 | OCoLC: 925536653,,"Issues available online Vol. 1, no. 1 (1945)-v. 38, no.1 (Jan. 1982) | National Library of Australia digitised item",
https://nla.gov.au/nla.obj-758603548,"Journal of soil conservation, New South Wales.",https://trove.nla.gov.au/work/10411388,"Government publication | Microform | Periodical | Periodical/Journal, magazine, other",Soil Conservation Service of New South Wales,"Sydney : Soil Conservation Service of N.S.W.,",1982,still image | text,online resource | volume,1 online resource : illustrations. | 7 v. : ill. ; 27 cm.,,Australia. | Australian | Australian periodicals -- New South Wales -- Sydney. | New South Wales. | New South Wales. Soil Conservation Service -- Periodicals. | New South Wales. Soil Conservation Service. | Soil Conservation Service of New South Wales -- Periodicals. | Soil conservation -- Australia -- New South Wales -- Periodicals. | Soil conservation -- Australia -- Periodicals. | Soil conservation -- New South Wales -- Periodicals. | Soil conservation -- Periodicals. | Soil conservation. | Soil erosion -- New South Wales -- Periodicals. | Sydney (N.S.W.) -- Periodicals.,u-at-ne,series: Digitised newspapers and more.,AuCNLKIN: 000005442703 | AuCNLKIN: 000066474045 | OCoLC: 1137084076 | OCoLC: 9315131,,"Issues available online Vol. 38, no.2 (July 1982)-v. 44, no. 1 (1988) | National Library of Australia digitised item",
https://nla.gov.au/nla.obj-1180532934,"Budget statements / circulated by ... Treasurer of the Commonwealth of Australia, and ... Minister for Finance for the information of honourable members on the occasion of the budget.",https://trove.nla.gov.au/work/10471702,"Government publication | Periodical | Periodical/Journal, magazine, other",Australia | Australia. Department of Employment and Industrial Relations | Australia. Department of Finance | Australia. Treasury,"Canberra : Australian Govt. Pub. Service,",1982,text,volume,3 volumes ; 25 cm. | v. ; 25 cm.,,Australia -- Appropriations and expenditures -- Periodicals. | Budget -- Australia -- Periodicals.,u-at---,"series: Budget paper (Australia. Parliament) ; no. 1. | series: Budget paper ; no. 1 | series: Budget related paper (Canberra, A.C.T.) ; no. 1. | series: Parliamentary paper (Australia. Parliament) | series: Parliamentary paper / The Parliament of the Commonwealth of Australia, 0727-4181",AuCNLKIN: 000005933570 | AuCNLKIN: 000057593908 | OCoLC: 13572386,,National Library of Australia digitised item. Nq 328.94 AUS copy,
https://nla.gov.au/nla.obj-2924303349,"Manila carnival recreation center commer : commercial and industrial fair February 7 to 15, 1925.",https://trove.nla.gov.au/work/10505336,"Periodical | Periodical/Journal, magazine, other",Philippines Carnival Association.,"[Manila : Philippine Carnival Association,",1925,,volume,"103p : ill, photos ; 23 cm.",,Carnivals -- Philippines. | Manila (Philippines) -- Commerce -- Directories. | Philippines -- Social life and customs.,a-ph---,,AuCNLKIN: 000025332514 | OCoLC: 224109932,,National Library of Australia digitised item. YY 381.09599 M278/1925 copy,
